FIPS,recent_trend,prediction_trend,O3_max_pred,PM25_max_pred
24510,stable,stable,39.79608069196166,13.639279777234501
26101,stable,stable,40.12486686798357,8.765548728926266
26103,stable,stable,37.96439183962449,7.605147709955016
26105,stable,stable,40.250234875611184,9.211069810483082
26107,stable,stable,39.05177425034226,9.802872883825541
26109,stable,stable,38.70254353178173,8.895918105808722
26111,stable,stable,38.68583386231175,10.354226965382358
26113,stable,stable,38.86982140485038,8.626068460395071
26115,stable,stable,39.68929821728926,13.136070260903578
26117,stable,stable,39.45166994914923,10.846037514570703
26119,stable,stable,37.58906071699589,7.988327285742225
26121,stable,stable,40.73539907119108,11.136470948953647
26123,stable,stable,39.453083247799725,10.464827304126736
26125,stable,stable,39.92980215431253,12.988842109329163
26127,stable,stable,40.51005897985527,9.75159109329161
26129,stable,stable,38.22896160590651,8.830613432818307
26131,falling,falling,37.010189841971446,7.014094280265989
26133,stable,stable,39.055495638372776,9.105926247799726
26135,stable,stable,37.98846933796206,8.17736186720125
26137,falling,falling,37.85935824095443,8.018915463915508
26139,stable,stable,41.04884903011931,12.14752427850577
26141,stable,stable,37.99566393408958,7.997740124975553
26143,stable,stable,38.711339843340504,8.494478925092901
26145,stable,stable,39.35348714942304,11.17316405730491
26147,falling,falling,40.3260577850577,12.289259479561903
26149,stable,stable,40.01829356287893,12.673420860551534
26151,stable,stable,39.69051238587913,10.848383315079209
26153,stable,stable,38.600171652063366,7.509413253471543
26155,stable,stable,39.346284250342265,11.311730080774497
26157,stable,stable,39.409543079992176,10.801254354781928
26159,stable,stable,41.52097084275377,11.846866127322512
26161,stable,stable,40.009572166242904,12.531489735967142
26163,falling,falling,39.20149975708977,13.869776911206728
26165,stable,stable,39.09129196147076,8.594111978877372
28101,stable,stable,40.01746513182085,11.200641880109524
28103,stable,stable,39.40563127224721,11.13527059104244
28105,stable,stable,39.98855217836886,11.149996198513593
28107,stable,stable,41.9829942567964,10.973606233913554
28109,stable,stable,42.33147541736749,10.36378353960493
28111,stable,stable,40.62375886583219,10.632154112262858
28113,stable,stable,41.818026903774694,10.31334377684334
28115,stable,stable,41.35734246528457,11.083233538627029
28117,stable,stable,41.65159650674751,11.03239687248191
28119,stable,stable,41.7121954115001,11.176006240758849
28121,stable,stable,41.36803932270683,11.654792792489731
28123,stable,stable,40.31939410346176,11.141351690005868
28127,stable,stable,40.672589910424406,10.972902149227458
28129,stable,stable,40.286383171327984,11.236922866810092
28131,falling,falling,41.15837590240563,10.276124903774692
28133,stable,stable,41.89456819714454,11.495897941912771
28135,stable,stable,41.49139718716996,11.073201347741051
28137,stable,stable,42.4594035554469,11.143805940739293
28139,stable,stable,41.84093872677489,10.823483538627029
28141,stable,stable,41.75419097066302,11.021077462546451
28143,stable,stable,42.05587594210835,11.260897651867788
28145,stable,stable,41.558206109329156,10.973599993154703
28147,stable,stable,41.39539209055349,10.225861977899472
28149,stable,stable,40.70450460531977,10.730683194601996
28151,rising,rising,41.522568323489146,11.657190887345982
28153,stable,stable,39.99116152923919,10.882859589282221
28155,stable,stable,40.10193276119695,10.624648916682965
28157,stable,stable,41.770456704087614,9.744055814394681
28159,stable,stable,39.877981840406804,10.957130373753179
28161,stable,stable,40.860141003716016,10.555016839233327
28163,stable,stable,40.744533669665564,10.883413096420888
29101,stable,stable,41.69245778407979,10.638364560336397
29103,stable,stable,39.05822118540974,10.373434698024644
29105,stable,stable,41.75825736260512,10.212949088010951
29107,stable,stable,41.46377242890671,10.809948198709174
29109,stable,stable,42.99623672775279,10.666626224525718
